概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"スズキ(7269)の買い予想。 twitter88 さんの売買予想。 目標株価： 6,468円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価6,468円",スズキ,2017/03/27,15:34,買い予想,twitter88さん,対象外,"4,681.0",-10.14,"6,468",長期(数ヶ月～数年),チャート,,"4,515.0",04月10日,00:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\1.html
"スズキ(7269)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 2,880円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",スズキ,2017/01/02,10:03,売り予想,エグゼクティブ・まっちさん,対象外,"4,214.0",-20.37,"2,879",長期(数ヶ月～数年),チャート,,"4,515.0",04月10日,00:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\10.html
"スズキ(7269)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 1,400円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対",スズキ,2012/07/27,01:49,買い予想,【ランキング１位】神様【５冠王】さん,591.12,"1,374.0",+649.84,"1,400",長期(数ヶ月～数年),その他,,"4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\100.html
"スズキ(7269)の買い予想。 matukou1124 さんの売買予想。 目標株価： 1,529円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",スズキ,2012/07/24,15:43,買い予想,matukou1124さん,352.69,"1,383.0",+643.76,"1,529",中期(数週間～数ヶ月),チャート,,"4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\101.html
"スズキ(7269)の買い予想。 mayuki-0323 さんの売買予想。 目標株価： 1,790円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",スズキ,2012/07/24,11:37,買い予想,mayuki-0323さん,560.48,"1,385.0",+642.42,"1,790",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/07/24 02:18
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,229円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\102.html
"スズキ(7269)の買い予想。 MAKOMON さんの売買予想。 目標株価： 1,406円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",スズキ,2012/07/24,06:41,買い予想,MAKOMONさん,487.93,"1,358.0",+660.85,"1,406",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/07/24 02:18
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,229円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\103.html
"スズキ(7269)の買い予想。 ｶｽﾞﾀﾛ さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： その他 ｶｲ",スズキ,2012/07/23,21:24,買い予想,ｶｽﾞﾀﾛさん,300.13,"1,358.0",+660.85,"1,500",中期(数週間～数ヶ月),その他,,"4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\104.html
"スズキ(7269)の買い予想。 K2- さんの売買予想。 目標株価： 1,564円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) kai",スズキ,2012/07/22,23:51,買い予想,K2-さん,206.46,"1,405.0",+629.23,"1,564",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\105.html
"スズキ(7269)の買い予想。 まつむら さんの売買予想。 目標株価： 1,564円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",スズキ,2012/07/21,16:29,買い予想,まつむらさん,1094.25,"1,405.0",+629.23,"1,564",中期(数週間～数ヶ月),チャート,,"4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\106.html
"スズキ(7269)の買い予想。 みゃこまる さんの売買予想。 目標株価： 1,464円 期間： 長期(数ヶ月～数年) 理由： チャート スズキは買い",スズキ,2012/07/21,13:57,買い予想,みゃこまるさん,684.31,"1,405.0",+629.23,"1,464",長期(数ヶ月～数年),チャート,"スズキがマイナス転換、ＥＶ向け蓄電池共同開発も反応は限定的(株式ネット新聞)
2012/06/14(12:04)
http://minkabu.jp/stock/7269/news/390798

私は、様子見しながら　買い入れしたいですね～♪
優待もあるし、何より自分もスズキのアルトにのっているし^^;

それにしても何で　ツイン止めちゃったんだろう???
私、ツイン製造再開して欲しいなとスズキに強く思うものの一人です!!

なにがあっても　良いものは世界を制するのだ!!
","4,515.0",04月10日,00:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7269-スズキ/2017-04-10-00-27-46/comment\107.html
