概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"トヨタ自動車(7203)の買い予想。 hideo_rotus さんの売買予想。 目標株価： 6,600円 期間： 長期(数ヶ月～数年) 理由： チャート かい",トヨタ自動車,2017/04/09,15:00,買い予想,hideo_rotusさん,1.24,成り行き ,,"6,600",長期(数ヶ月～数年),チャート,,"5,832.0",04月09日,21:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1.html
"トヨタ自動車(7203)の買い予想。 sasaoka さんの売買予想。 目標株価： 6,504円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価6,504円",トヨタ自動車,2017/04/02,21:32,買い予想,sasaokaさん,-3.08,"6,087.0",-9.57,"6,504",中期(数週間～数ヶ月),チャート,,"5,832.0",04月09日,21:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\10.html
"トヨタ自動車(7203)の買い予想。 kawagoebon さんの売買予想。 目標株価： 7,226円 期間： 中期(数週間~数ヶ月) 理由： みんかぶポートフォリオ みんかぶポートフォリオから買いと予想",トヨタ自動車,2016/12/09,11:59,買い予想,kawagoebonさん,-6.5,"7,011.0",-45.79,"7,226",中期(数週間～数ヶ月),みんかぶポートフォリオ,,"5,832.0",04月09日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\100.html
"トヨタ自動車(7203)の買い予想。 kat*za*i さんの売買予想。 目標株価： 3,679円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",トヨタ自動車,2012/02/29,15:17,買い予想,kat*za*iさん,426.85,"3,380.0",+210.49,"3,679",中期(数週間～数ヶ月),チャート,ドルさえ・・・,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1000.html
"トヨタ自動車(7203)の買い予想。 ユウティー さんの売買予想。 目標株価： 3,528円 期間： 中期(数週間~数ヶ月) 理由： その他 HB好調",トヨタ自動車,2012/02/28,14:59,買い予想,ユウティーさん,85.87,"3,390.0",+418.06,"3,528",中期(数週間～数ヶ月),その他,,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1001.html
"トヨタ自動車(7203)の買い予想。 オオテツ さんの売買予想。 目標株価： 5,300円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",トヨタ自動車,2012/02/17,17:27,買い予想,オオテツさん,81.46,"3,345.0",+215.67,"5,300",中期(数週間～数ヶ月),その他,円安、アクア、プリウス、爆売れ,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1002.html
"トヨタ自動車(7203)の買い予想。 tama6378 さんの売買予想。 目標株価： 4,244円 期間： 中期(数週間~数ヶ月) 理由： その他 NO.1",トヨタ自動車,2012/02/16,20:53,買い予想,tama6378さん,156.56,"3,340.0",+216.42,"4,244",中期(数週間～数ヶ月),その他,,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1003.html
"トヨタ自動車(7203)の買い予想。 めたぼ さんの売買予想。 目標株価： 3,276円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",トヨタ自動車,2012/02/14,21:50,買い予想,めたぼさん,249.75,"3,170.0",+243.27,"3,276",中期(数週間～数ヶ月),その他,,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1004.html
"トヨタ自動車(7203)の買い予想。 ｶｽﾞﾗﾑﾈ さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) いま",トヨタ自動車,2012/02/12,14:23,買い予想,ｶｽﾞﾗﾑﾈさん,296.47,"3,045.0",+264.93,"3,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),忙しいし､好調だからあがるのでは？,"5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1005.html
"トヨタ自動車(7203)の買い予想。 トラトラトラ0109 さんの売買予想。 目標株価： 3,281円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) トヨタ株価",トヨタ自動車,2012/02/09,13:33,買い予想,トラトラトラ0109さん,127.78,"3,125.0",+250.87,"3,281",短期(数分～数日),業績(会社計画の修正発表を含む),"トヨタが小反落、利益確定売りも先行き期待した買いに底堅い(株式ネット新聞)
2012/02/09(11:52)
http://minkabu.jp/stock/7203/news/333942","5,832.0",04月09日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7203-トヨタ自動車/2017-04-09-21-39-48/comment\1006.html
