概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
日本郵船(9101)の買い予想。 w_happy_trade_w さんの売買予想。 目標株価： 358円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価350円,日本郵船,2017/04/09,11:01,買い予想,w_happy_trade_wさん,14.34,228.0,+0.00,358,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,228.0,04月10日,11:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\1.html
日本郵船(9101)の売り予想。 仲居正広 さんの売買予想。 目標株価： 251円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価320円,日本郵船,2017/03/16,17:28,売り予想,仲居正広さん,-14.75,261.0,+33.77,251,短期(数分～数日),チャート,,228.0,04月10日,11:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\10.html
日本郵船(9101)の買い予想。 ｺﾅﾝⅢ世 さんの売買予想。 目標株価： 427円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,日本郵船,2013/10/06,18:12,買い予想,ｺﾅﾝⅢ世さん,42.85,301.0,-68.96,427,短期(数分～数日),業績(会社計画の修正発表を含む),かい,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\100.html
日本郵船(9101)の買い予想。 xxxyyyzzz さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： チャート KAI,日本郵船,2013/09/06,18:49,買い予想,xxxyyyzzzさん,102.57,305.0,-71.78,350,中期(数週間～数ヶ月),チャート,,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\101.html
日本郵船(9101)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 402円 期間： 長期(数ヶ月～数年) 理由： その他 買い,日本郵船,2013/09/03,09:32,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,290.0,-60.79,402,長期(数ヶ月～数年),その他,,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\102.html
日本郵船(9101)の買い予想。 カステラ男子 さんの売買予想。 目標株価： 428円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,日本郵船,2013/08/25,07:01,買い予想,カステラ男子さん,103.47,283.0,-55.26,428,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\103.html
日本郵船(9101)の買い予想。 梅みんつ さんの売買予想。 目標株価： 293円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,日本郵船,2013/08/07,20:44,買い予想,梅みんつさん,2.98,286.0,-57.66,293,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\104.html
日本郵船(9101)の買い予想。 マサラ さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,日本郵船,2013/07/25,20:48,買い予想,マサラさん,40.04,284.0,-56.07,320,中期(数週間～数ヶ月),その他,,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\105.html
日本郵船(9101)の買い予想。 トッド さんの売買予想。 目標株価： 386円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,日本郵船,2013/07/18,15:57,買い予想,トッドさん,25.68,297.0,-66.06,386,中期(数週間～数ヶ月),チャート,,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\106.html
日本郵船(9101)の買い予想。 神輿 さんの売買予想。 目標株価： 429円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,日本郵船,2013/07/13,23:30,買い予想,神輿さん,13.22,294.0,-63.83,429,中期(数週間～数ヶ月),その他,,228.0,04月10日,11:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9101-日本郵船/2017-04-10-11-20-24/comment\107.html
