0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ディー・エヌ・エー(2432)の買い予想。 manay さんの売買予想。 目標株価： 2,306円 期間： 短期(数分~数日) 理由： チャート 買い予想",ディー・エヌ・エー,2017/04/06,18:09,買い予想,manayさん,-5.83,"2,248.0",+1.13,"2,306",短期(数分～数日),チャート,,"2,258.0",04月08日,19:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1.html
"ディー・エヌ・エー(2432)の売り予想。 森衛門 さんの売買予想。 目標株価： 2,076円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価2,078円",ディー・エヌ・エー,2017/03/25,21:40,売り予想,森衛門さん,8.27,"2,381.0",+14.57,"2,076",中期(数週間～数ヶ月),チャート,,"2,258.0",04月08日,19:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\10.html
"ディー・エヌ・エー(2432)の買い予想。 空と花 さんの売買予想。 目標株価： 2,786円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",ディー・エヌ・エー,2016/07/28,17:18,買い予想,空と花さん,-68.76,"2,599.0",-37.41,"2,786",短期(数分～数日),チャート,,"2,258.0",04月08日,19:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\100.html
ディー・エヌ・エー(2432)の買い予想。 yyykkk17 さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,ディー・エヌ・エー,2008/07/29,09:56,買い予想,yyykkk17さん,226.89,"1,961.3",+42.86,--,中期(数週間～数ヶ月),チャート,買い,"2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1000.html
"ディー・エヌ・エー(2432)の売り予想。 株の初心者 さんの売買予想。 目標株価： 400,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 若者向け",ディー・エヌ・エー,2008/07/22,19:44,売り予想,株の初心者さん,0.19,"2,051.2",-28.79,"400,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"出会い系サイトになりつつあるＳＮＳ
今後の成長厳しいんじゃないでしょうか？","2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1001.html
"ディー・エヌ・エー(2432)の買い予想。 Majckyy さんの売買予想。 目標株価： 647,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 伸びると見た",ディー・エヌ・エー,2008/07/19,00:59,買い予想,Majckyyさん,377.66,"2,077.9",+24.50,"647,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1002.html
"ディー・エヌ・エー(2432)の買い予想。 mayatan さんの売買予想。 目標株価： 700,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 長い目で見て",ディー・エヌ・エー,2008/07/03,23:27,買い予想,mayatanさん,21.66,"2,064.6",+26.49,"700,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"ＤｅＮＡが「モバゲータウン」のＳＮＳ機能をパソコンなどに開放(株式新聞)
2008/07/03(16:56)
http://minkabu.jp/stock/2432/news/14556","2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1003.html
"ディー・エヌ・エー(2432)の買い予想。 yuuta2ww2 さんの売買予想。 目標株価： 630,000円 期間： 長期(数ヶ月～数年) 理由： その他 HANGAMEの方がマシかも・・・。",ディー・エヌ・エー,2008/07/03,17:40,買い予想,yuuta2ww2さん,7.68,"2,064.6",+26.49,"630,000",長期(数ヶ月～数年),その他,"モバゲ最近してないなぁ・・・。
HANGAMEやアラリオに集中してるからかな？","2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1004.html
"ディー・エヌ・エー(2432)の売り予想。 イサム さんの売買予想。 目標株価： 450,000円 期間： 長期(数ヶ月～数年) 理由： その他 神通力が",ディー・エヌ・エー,2008/06/29,11:55,売り予想,イサムさん,2.1,"2,081.2",-24.28,"450,000",長期(数ヶ月～数年),その他,"あまり具体的な情報がないですが、そろそろブームがさるのでは。

ケータイSNSのメインターゲットは中高生。ゲームは大学生以上も含めて幅は広いが、年齢レンジは狭い。

著しく盛り上がるブームは急速に衰退する可能性もある。インターネットはなおのこと。

ミクシーよりも減速スピードは速いと思います。それまでに南場さん手を打てるかなぁ。","2,258.0",04月08日,19:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1005.html
"ディー・エヌ・エー(2432)の買い予想。 hold_tochan さんの売買予想。 目標株価： 1,000,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 中期で",ディー・エヌ・エー,2008/06/02,00:41,買い予想,hold_tochanさん,5.41,"2,437.5",-21.06,"1,000,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),ある意味，１部に昇格が裏目に出る場合もあり得るが，業績と将来性を見る限り，放置でよいかと。,"2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1006.html
"ディー・エヌ・エー(2432)の買い予想。 キラ☆キョロ さんの売買予想。 目標株価： 99,400円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) ネット関連を再注目",ディー・エヌ・エー,2008/05/17,08:55,買い予想,キラ☆キョロさん,64.0,"2,454.2",-22.84,"99,400",短期(数分～数日),業績(会社計画の修正発表を含む),ヤフー、楽天、mixiの3強ネット関連株が崩れる中、DeNA、ソネット、サイバーエージェントに期待。,"2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1007.html
"ディー・エヌ・エー(2432)の買い予想。 もぇ さんの売買予想。 目標株価： 800,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買ぃ予想をたてちゃぇ！",ディー・エヌ・エー,2008/05/02,15:30,買い予想,もぇさん,-31.52,"2,547.4",-32.42,"800,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"ぅ～ん、
正直ょくゎかりませんが、モバゲーは結構友達もゃってますし、調子良ぃんじゃなぃかなぁと思ぃました。

ただ７５万？？
高すぎてぁたしの持ち金じゃ到底買えなぃょぉ。","2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1008.html
"ディー・エヌ・エー(2432)の売り予想。 遊来坊 さんの売買予想。 目標株価： 650,000円 期間： 中期(数週間~数ヶ月) 理由： その他 残念ながら",ディー・エヌ・エー,2008/05/02,10:39,売り予想,遊来坊さん,83.22,"2,480.8",+25.42,"650,000",中期(数週間～数ヶ月),その他,携帯の総合ポータル（＝メディア）を目指していますが、やはりゲーム＆ＳＮＳの専門サイトの域を出るのは難しい気がします。いろいろ取り組んでいて打つ手は中々のものとは思いますが、そもそもということもありますので。。,"2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1009.html
"ディー・エヌ・エー(2432)の買い予想。 nana1984 さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) AIに参入。時代は変わる",ディー・エヌ・エー,2016/07/26,22:30,買い予想,nana1984さん,245.08,"2,693.0",-46.03,"5,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,258.0",04月08日,19:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\101.html
ディー・エヌ・エー(2432)の売り予想。 すなっぱ さんの売買予想。 期間： 短期(数分~数日) そろそろ,ディー・エヌ・エー,2008/04/29,13:50,売り予想,すなっぱさん,-179.64,"2,420.9",+38.03,--,短期(数分～数日),,一休み…,"2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1010.html
"ディー・エヌ・エー(2432)の売り予想。 右近たんσ(×ー×*) さんの売買予想。 目標株価： 600,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ＤｅＮＡの社長は",ディー・エヌ・エー,2008/04/22,21:03,売り予想,右近たん,222.04,"2,347.6",+10.73,"600,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"とっても美人で優秀。会社も素晴らしい！
でも、売り。だって素晴らしすぎるから伸びしろないんだもん。

web2.0の変革がそのうち来る。その前にドテン買いしたい","2,258.0",04月08日,19:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2432-ディー・エヌ・エー/2017-04-08-19-02-20/comment\1011.html
