概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"横河電機(6841)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,669円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,667円",横河電機,2017/03/27,14:51,買い予想,twitter88さん,-0.95,"1,783.0",-9.25,"2,669",長期(数ヶ月～数年),チャート,,"1,726.0",04月09日,19:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\1.html
"横河電機(6841)の買い予想。 t-oku さんの売買予想。 目標株価： 1,472円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",横河電機,2016/06/29,15:25,買い予想,t-okuさん,47.03,"1,155.0",+140.33,"1,471",中期(数週間～数ヶ月),個人投資家の予想,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\10.html
"横河電機(6841)の買い予想。 fsicon さんの売買予想。 目標株価： 1,133円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価1,125円",横河電機,2016/06/27,09:54,買い予想,fsiconさん,11.38,"1,111.0",+157.15,"1,133",中期(数週間～数ヶ月),個人投資家の予想,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\11.html
"横河電機(6841)の買い予想。 miroku さんの売買予想。 目標株価： 1,369円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",横河電機,2016/06/06,06:34,買い予想,mirokuさん,79.97,"1,130.0",+149.72,"1,369",長期(数ヶ月～数年),個人投資家の予想,"【株価分析結果】2016/06/04 03:38　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,386円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\12.html
"横河電機(6841)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 1,280円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",横河電機,2016/06/05,12:08,買い予想,kouboudaisiさん,12.36,"1,130.0",+149.72,"1,280",中期(数週間～数ヶ月),個人投資家の予想,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\13.html
"横河電機(6841)の買い予想。 みっくさん さんの売買予想。 目標株価： 1,265円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",横河電機,2016/06/03,13:07,買い予想,みっくさんさん,11.85,"1,152.0",+141.43,"1,265",短期(数分～数日),個人投資家の予想,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\14.html
"横河電機(6841)の買い予想。 浩ちゃんＡ さんの売買予想。 目標株価： 1,260円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 買い予想 短期 目標株価1,260円",横河電機,2016/03/23,11:39,買い予想,浩ちゃんＡさん,38.58,"1,151.0",+141.80,"1,260",短期(数分～数日),配当(株主優待を含む),,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\15.html
"横河電機(6841)の買い予想。 てるおお さんの売買予想。 目標株価： 1,167円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",横河電機,2016/03/14,11:49,買い予想,てるおおさん,72.23,"1,163.0",+137.41,"1,167",長期(数ヶ月～数年),個人投資家の予想,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\16.html
"横河電機(6841)の買い予想。 cazz33 さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： チャート かん",横河電機,2016/02/25,09:53,買い予想,cazz33さん,87.94,"1,091.0",+165.24,"1,200",中期(数週間～数ヶ月),チャート,,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\17.html
"横河電機(6841)の買い予想。 新茶小姐 さんの売買予想。 目標株価： 1,467円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",横河電機,2016/02/02,00:11,買い予想,新茶小姐さん,12.59,"1,339.0",+81.97,"1,467",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,726.0",04月09日,19:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6841-横河電機/2017-04-09-19-08-40/comment\18.html
