概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
東武鉄道(9001)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 868円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価868円,東武鉄道,2017/02/26,15:50,買い予想,Newジェントルマンさん,-5.41,571.0,-5.97,868,中期(数週間～数ヶ月),その他,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\1.html
東武鉄道(9001)の買い予想。 ぺーちゃん1 さんの売買予想。 目標株価： 601円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,東武鉄道,2016/05/09,21:01,買い予想,ぺーちゃん1さん,66.21,555.0,+2.04,601,短期(数分～数日),個人投資家の予想,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\10.html
東武鉄道(9001)の売り予想。 松岡政也 さんの売買予想。 目標株価： 294円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,東武鉄道,2015/12/19,13:14,売り予想,松岡政也さん,-25.38,581.0,+9.78,293,長期(数ヶ月～数年),その他,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\11.html
東武鉄道(9001)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 360円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,東武鉄道,2015/09/06,13:46,売り予想,チャーティスト3さん,-33.49,508.0,-29.66,360,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\12.html
東武鉄道(9001)の買い予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 776円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,東武鉄道,2015/03/23,22:30,買い予想,エグゼクティブ・まっちさん,-14.13,597.0,-18.09,776,長期(数ヶ月～数年),チャート,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\13.html
東武鉄道(9001)の買い予想。 カズちゃん さんの売買予想。 目標株価： 555円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 長期 目標株価555円,東武鉄道,2014/12/21,09:30,買い予想,カズちゃんさん,21.35,518.0,+22.50,555,中期(数週間～数ヶ月),個人投資家の予想,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\14.html
東武鉄道(9001)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 529円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東武鉄道,2014/12/11,11:45,買い予想,☆くまもん☆さん,202.74,501.0,+32.91,529,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/12/11 02:39
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「529円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\15.html
東武鉄道(9001)の買い予想。 gowalk さんの売買予想。 目標株価： 550円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,東武鉄道,2014/09/05,21:15,買い予想,gowalkさん,10.82,549.0,+5.17,550,短期(数分～数日),個人投資家の予想,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\16.html
東武鉄道(9001)の買い予想。 TAKEZO777 さんの売買予想。 目標株価： 569円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東武鉄道,2014/06/09,12:20,買い予想,TAKEZO777さん,85.57,519.0,+21.91,569,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\17.html
東武鉄道(9001)の買い予想。 animunia さんの売買予想。 目標株価： 644円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,東武鉄道,2014/04/22,15:28,買い予想,animuniaさん,113.24,497.0,+35.47,644,長期(数ヶ月～数年),その他,,558.0,04月10日,10:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9001-東武鉄道/2017-04-10-10-41-57/comment\18.html
