概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
あおぞら銀行(8304)の買い予想。 青海まさる さんの売買予想。 目標株価： 453円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成,あおぞら銀行,2017/04/05,09:52,買い予想,青海まさるさん,-0.95,396.0,-6.46,453,長期(数ヶ月～数年),配当(株主優待を含む),【株価分析結果】2017/04/05 04:16　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「437円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。【相対比較】　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,388.0,04月10日,04:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\1.html
あおぞら銀行(8304)の買い予想。 yokoha601 さんの売買予想。 目標株価： 418円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買い予想 中期 目標株価418円,あおぞら銀行,2017/02/09,09:45,買い予想,yokoha601さん,-9.88,403.0,-11.28,418,中期(数週間～数ヶ月),配当(株主優待を含む),,388.0,04月10日,04:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\10.html
あおぞら銀行(8304)の買い予想。 mmr*6*3 さんの売買予想。 目標株価： 120円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割高」に反対,あおぞら銀行,2010/06/11,08:05,買い予想,mmr*6*3さん,435.88,109.0,+725.24,120,長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),"【株価分析結果】2010/06/11 03:30
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「100円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

",388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\100.html
あおぞら銀行(8304)の買い予想。 yottsu さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： その他 買い,あおぞら銀行,2010/05/25,20:27,買い予想,yottsuさん,391.6,109.0,+725.24,--,長期(数ヶ月～数年),その他,,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\101.html
"あおぞら銀行,8304,AozoraBank,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",あおぞら銀行,2010/02/28,13:32,売り予想,娥さん,140.5,115.0,-677.51,--,中期(数週間～数ヶ月),,,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\102.html
あおぞら銀行(8304)の買い予想。 じいこ さんの売買予想。 目標株価： 125円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,あおぞら銀行,2010/02/19,17:35,買い予想,じいこさん,179.61,118.0,+648.24,125,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2010/02/19 03:31
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「125円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\103.html
あおぞら銀行(8304)の売り予想。 asakichi さんの売買予想。 目標株価： 90円 期間： 短期(数分~数日) 利回り。,あおぞら銀行,2010/01/08,15:35,売り予想,asakichiさん,-108.11,106.0,-759.18,90,短期(数分～数日),,低すぎ。。。,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\104.html
あおぞら銀行(8304)の買い予想。 シシカバブ さんの売買予想。 目標株価： 110円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いで,あおぞら銀行,2009/11/23,19:00,買い予想,シシカバブさん,424.14,101.0,+805.21,110,中期(数週間～数ヶ月),チャート,,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\105.html
あおぞら銀行(8304)の買い予想。 雨宮一郎 さんの売買予想。 目標株価： 160円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) かい,あおぞら銀行,2009/11/12,23:16,買い予想,雨宮一郎さん,403.38,111.0,+707.05,160,短期(数分～数日),業績(会社計画の修正発表を含む),,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\106.html
あおぞら銀行(8304)の売り予想。 mackey0901 さんの売買予想。 目標株価： 50円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買いの余地なし,あおぞら銀行,2009/11/01,21:05,売り予想,mackey0901さん,147.29,108.0,-739.86,50,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),市場からの退場！あおぞら銀行って皆さん必要と思ってますか？,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\107.html
あおぞら銀行(8304)の買い予想。 takepon2009 さんの売買予想。 目標株価： 150円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,あおぞら銀行,2009/07/31,23:21,買い予想,takepon2009さん,167.83,136.0,+524.81,150,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\108.html
"あおぞら銀行,8304,AozoraBank,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",あおぞら銀行,2009/07/28,10:33,買い予想,新卒MBAさん,434.31,128.0,+575.38,--,,,"新生銀とあおぞら銀、２０１０年１０月１日付の合併を発表(株式新聞)
2009/07/02(07:53)
http://minkabu.jp/stock/8304/news/23560",388.0,04月10日,04:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\109.html
あおぞら銀行(8304)の買い予想。 nagatetsu さんの売買予想。 目標株価： 450円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成,あおぞら銀行,2017/02/06,20:31,買い予想,nagatetsuさん,-4.25,406.0,-13.30,450,長期(数ヶ月～数年),配当(株主優待を含む),"【株価分析結果】2017/02/04 04:15
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「454円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より低い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",388.0,04月10日,04:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8304-あおぞら銀行/2017-04-10-04-30-29/comment\11.html
