概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ヤマハ(7951)の買い予想。 superok さんの売買予想。 目標株価： 3,398円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価3,398円",ヤマハ,2017/03/30,11:03,買い予想,superokさん,-1.14,"3,050.0",-3.35,"3,398",長期(数ヶ月～数年),その他,,"3,015.0",04月10日,01:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\1.html
"ヤマハ(7951)の売り予想。 kensyaku さんの売買予想。 目標株価： 2,776円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り予想 短期 目標株価2,776円",ヤマハ,2017/02/22,13:35,売り予想,kensyakuさん,5.26,"2,920.0",-9.34,"2,776",短期(数分～数日),業績(会社計画の修正発表を含む),,"3,015.0",04月10日,01:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\10.html
"ヤマハ(7951)の買い予想。 たかいち さんの売買予想。 目標株価： 1,150円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",ヤマハ,2010/01/08,12:58,買い予想,たかいちさん,-13.41,"1,103.0",+492.66,"1,150",中期(数週間～数ヶ月),その他,,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\100.html
"ヤマハ(7951)の買い予想。 ツネさま さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",ヤマハ,2010/01/06,20:46,買い予想,ツネさまさん,208.07,"1,125.0",+477.47,"1,200",中期(数週間～数ヶ月),その他,,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\101.html
"ヤマハ(7951)の買い予想。 サクラきのこ さんの売買予想。 目標株価： 1,397円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマハ,2009/12/21,20:22,買い予想,サクラきのこさん,410.34,"1,050.0",+531.88,"1,397",,業績(会社計画の修正発表を含む),"【株価分析結果】2009/12/19 03:28
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,397円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\102.html
"ヤマハ(7951)の買い予想。 goo*y2*0014** さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 長期保有",ヤマハ,2009/12/12,09:26,買い予想,goo*y2*0014**さん,272.26,"1,008.0",+565.89,"1,500",長期(数ヶ月～数年),その他,,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\103.html
ヤマハ(7951)の売り予想。 ぷりまる さんの売買予想。 目標株価： 833円 期間： 短期(数分~数日) 理由： その他 円高,ヤマハ,2009/11/26,12:52,売り予想,ぷりまるさん,-85.3,893.0,-676.03,833,短期(数分～数日),その他,為替要因インパクト瞬間最低株価,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\104.html
"ヤマハ,7951,YAMAHA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",ヤマハ,2009/11/26,04:04,買い予想,RX78G3さん,601.44,903.0,+664.76,--,短期(数分～数日),,,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\105.html
"ヤマハ(7951)の買い予想。 元帥閣下 さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 折り込み済み",ヤマハ,2009/11/05,12:33,買い予想,元帥閣下さん,101.76,894.0,+674.32,"1,100",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),悪材料を予想したここ数日の下落もそろそろ終わりと判断しここから買い予想します,"3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\106.html
"ヤマハ(7951)の買い予想。 sui*efi*hi*g さんの売買予想。 目標株価： 1,180円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマハ,2009/10/05,22:19,買い予想,sui*efi*hi*gさん,316.66,998.0,+574.41,"1,180",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/10/03 03:27
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,490円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","3,015.0",04月10日,01:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7951-ヤマハ/2017-04-10-01-52-31/comment\107.html
