0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"花王(4452)の買い予想。 blueblackhornet さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",花王,2017/03/28,07:46,買い予想,blueblackhornetさん,3.35,"6,186.0",+3.07,"6,000",長期(数ヶ月～数年),個人投資家の予想,業績が良好,"6,254.0",04月08日,23:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\1.html
"花王(4452)の買い予想。 ドンタロウ さんの売買予想。 目標株価： 5,958円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価6,000円",花王,2017/01/24,11:33,買い予想,ドンタロウさん,75.8,"5,305.0",+50.81,"5,958",中期(数週間～数ヶ月),チャート,,"6,254.0",04月08日,23:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\10.html
"花王(4452)の買い予想。 ひろたのみや さんの売買予想。 目標株価： 3,668円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",花王,2013/04/10,12:55,買い予想,ひろたのみやさん,131.4,"3,320.0",+251.21,"3,668",長期(数ヶ月～数年),配当(株主優待を含む),,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\100.html
"花王(4452)の買い予想。 papamamayuma さんの売買予想。 目標株価： 3,965円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",花王,2013/03/23,08:32,買い予想,papamamayumaさん,171.72,"3,085.0",+292.01,"3,965",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\101.html
"花王(4452)の売り予想。 mys**okyo さんの売買予想。 目標株価： 2,935円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対",花王,2013/03/19,07:00,売り予想,mys**okyoさん,333.02,"3,105.0",-288.48,"2,935",短期(数分～数日),チャート,,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\102.html
"花王(4452)の買い予想。 カリンちゃん さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",花王,2013/03/18,08:27,買い予想,カリンちゃんさん,9.96,"3,115.0",+286.45,"3,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\103.html
"花王(4452)の買い予想。 カンブリア銘柄で１億ゲットした男 さんの売買予想。 目標株価： 3,500円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 【速報】祝がっちりマンデ●銘柄！S高",花王,2013/03/12,10:30,買い予想,カンブリア銘柄で１億ゲットした男さん,271.46,"3,135.0",+282.81,"3,500",短期(数分～数日),業績(会社計画の修正発表を含む),"【速報】祝がっちりマンデ●銘柄！4452花王3/17放映翌日爆上げ期待！年初来高は確実じゃない？
全資産いきます！
Ｓ高に最も近い株発見か？
業績もいいしアナリスト予測3,500円いくかもね！","6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\104.html
"花王(4452)の売り予想。 WERD さんの売買予想。 目標株価： 2,853円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り",花王,2013/03/08,10:27,売り予想,WERDさん,-109.54,"3,170.0",-276.73,"2,853",中期(数週間～数ヶ月),チャート,,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\105.html
"花王(4452)の買い予想。 star_kabunusiiii さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 連続増配",花王,2013/02/05,17:39,買い予想,star_kabunusiiiiさん,45.51,"2,750.0",+362.22,"4,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),長期投資,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\106.html
"花王(4452)の売り予想。 トミッチ さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",花王,2012/12/20,16:05,売り予想,トミッチさん,-189.54,"2,226.0",-514.68,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/12/20 01:43
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「2,172円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\107.html
"花王(4452)の売り予想。 きたあじ さんの売買予想。 目標株価： 2,162円 期間： 中期(数週間~数ヶ月) 理由： チャート _SS_",花王,2012/12/18,13:04,売り予想,きたあじさん,-334.55,"2,279.0",-496.10,"2,162",中期(数週間～数ヶ月),チャート,,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\108.html
"花王(4452)の買い予想。 HAPIKA さんの売買予想。 目標株価： 2,325円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",花王,2012/12/15,15:44,買い予想,HAPIKAさん,317.31,"2,298.0",+489.40,"2,325",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\109.html
"花王(4452)の買い予想。 sainthelena さんの売買予想。 目標株価： 5,800円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",花王,2017/01/05,00:42,買い予想,sainthelenaさん,-9.96,"5,500.0",+38.93,"5,800",中期(数週間～数ヶ月),チャート,,"6,254.0",04月08日,23:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\11.html
"花王(4452)の買い予想。 akinokaze さんの売買予想。 目標株価： 2,418円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",花王,2012/09/22,15:58,買い予想,akinokazeさん,327.69,"2,293.0",+491.08,"2,418",中期(数週間～数ヶ月),チャート,,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\110.html
"花王(4452)の売り予想。 ﾐﾙｹﾞﾝ さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 売り",花王,2012/07/09,21:24,売り予想,ﾐﾙｹﾞﾝさん,158.78,"2,203.0",-523.02,"1,900",中期(数週間～数ヶ月),配当(株主優待を含む),,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\111.html
"花王(4452)の買い予想。 t-oku さんの売買予想。 目標株価： 2,413円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",花王,2012/06/30,17:56,買い予想,t-okuさん,47.03,"2,200.0",+523.86,"2,413",中期(数週間～数ヶ月),その他,買い,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\112.html
"花王(4452)の売り予想。 hetarenuko さんの売買予想。 目標株価： 2,020円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対",花王,2012/06/26,14:12,売り予想,hetarenukoさん,-508.96,"2,085.0",-568.72,"2,020",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),本日、不買デモが予定されている為。,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\113.html
"花王(4452)の買い予想。 エムテ さんの売買予想。 目標株価： 2,692円 期間： 短期(数分~数日) 理由： チャート 上昇",花王,2012/06/23,13:38,買い予想,エムテさん,296.81,"2,070.0",+574.62,"2,692",短期(数分～数日),チャート,期待,"6,254.0",04月08日,23:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4452-花王/2017-04-08-23-33-36/comment\114.html
